# CDU General Secretary #Groehe: &quot;Article of the &#39;young world&#39; is pathetic and shameful&quot;. http://bit.ly/obKV9D
Angela #Merkel and Nicolas #Sarkozy have proposed ways out of the EU debt crisis. More at http://bit.ly/rse7bo #cdu #euro
# CDU General Secretary #Groehe: &quot;#Eurobonds are eliminated for the #Union&quot;. More at http://bit.ly/pkReit
Annette #Schavan: &quot;The #CDU stands for an #education policy in which nobody gets lost&quot;. More at http://bit.ly/r2bolk
CDU.TV report from the commemoration of the 50th anniversary of the building of the wall: http://bit.ly/nufmbL #cdu
CDU General Secretary #Groehe on the 50th anniversary of the building of the wall: &quot;Today is a day of remembrance&quot;. http://www.cdu.de/portal2009/26423_33290.htm…
"On August 13, 2011, the CDU Germany and the CDU Berlin jointly commemorate the 50th anniversary of the building of the wall: http://www.cdu.de/portal2009/26423_33288.htm…"
David #McAllister and Reiner #Haseloff in a LVZ double interview about their experiences in reunified Germany: http://bit.ly/o2Z1vT
#Thuringia Prime Minister Christine #Lieberknecht in the SuperIllu summer interview: http://bit.ly/qEocRA #cdu
"#CDU congratulates the new Prime Minister of Saarland, Annegret # Kramp-Karrenbauer. PM at http://bit.ly/oF5EQM"
Former Chancellor Helmut #Kohl received a special gift on Tuesday: An original piece of the Berlin Wall. http://bit.ly/nNP14c
Annegret # Kramp-Karrenbauer in the # FAZ interview. More at http://bit.ly/nk6Qg0 #cdu #saarland
Federal Minister of Education Annette #Schavan in an interview: &quot;In the end there must be a future-proof concept&quot;. More at http://bit.ly/oGzB0o
Interview with Hermann @groehe: &quot;Bringing lasting values and current challenges together&quot; http://bit.ly/ohlukh #cdu #debatte #union
Hermann @Groehe on the current debate in the #cdu &quot;Weighty voices that we take seriously&quot; http://bit.ly/orHFz0 #merkel #union
Commemorative event &quot;50th anniversary of the building of the wall in 1961&quot; http://bit.ly/ptufI3 #cdu #mauerbau #gedenkenag
Lorenz Caffier: It&#39;s worth staying in Mecklenburg-West Pomerania http://bit.ly/nG15rs #cdu #mv #wirtschaft #arbeitsmarkt
Hermann @groehe on the program of the Left Party http://bit.ly/nttaQN #cdu #democracy #free #grundordnung
The chairman of @cducsubt Volker Kauder in an interview about the success of the Christian-liberal coalition http://bit.ly/qDX7PK #cdu #csu
Annette Schavan leads @buergerdialoge to energy technologies http://bit.ly/npi9pD #forschung #energie # bürgerbeteiligung #cdu
Hermann @groehe: Change with economic reason http://bit.ly/oA3Fy1 #cdu #bundesrat #bundestag #energie #energiewende
The new UNION magazine is at http://www.union-magazin.de #cdu #energy #kernkraft #merkel #groehe #wirtschaft #arbeitsmarkt
Angela Merkel: &quot;&quot; The drop in unemployment is very encouraging &quot;http://bit.ly/q30u9H #cdu #arbeitsmarkt #interview
Hermann @groehe &quot;Debt kings sit in SPD-ruled countries&quot; http://bit.ly/oezv0M #cdu #spd #schulden #haushalt #schuldenbremse
Hermann @groehe: &quot;Combining relief and budget consolidation&quot; #cdu #fdp #koalition http://bit.ly/khK01P
Röttgen: &quot;Combining climate protection with economic growth&quot; http://bit.ly/mtioGj #cdu #klima #umwelt
Hermann @groehe &quot;The German economy is the big winner of the euro&quot; http://bit.ly/mdci08 #cdu #europa # wurrency
De Maizière: &quot;The service to our country is honorable and a reason to be proud&quot; http://bit.ly/iX23WD #cdu #bundeswehr #wehrpflicht
Frank Henkel: &quot;We want more public participation for Berlin&quot; http://bit.ly/n9Eten #cdu #berlin #damit #sich #was # changes
Angela Merkel has strongly condemned the Syrian government&#39;s violent repression against its own population. http://bit.ly/nd9xRG
Wolfgang Schäuble: &quot;We create efficient crisis mechanisms&quot; http://bit.ly/nJ5vZL #cdu #europa #euro
Local election campaign in #Lower Saxony: &quot;Typical #CDU: courage to take responsibility&quot;. Poster motif presented: http://bit.ly/pzPacm
#Famine in #east Africa - donate now !. The # Africa commissioner of the federal government Günter Nooke in an interview: http://bit.ly/rgdVJf
&quot;The secondary school needs to be developed further&quot;. Interview with Minister of Education Annette #Schavan: http://bit.ly/omkGbM
Thomas #Strobl: State Party Congress was &quot;signal of departure&quot;. Interview: http://bit.ly/o9VdxL #cdu #lpt
&quot;Germany is doing better than it has been for a long time&quot;. Interview with # CDU General Secretary Hermann # Gröhe: http://bit.ly/n7rlYs
Angela #Merkel expressed her sympathy for the victims after the attacks in #Norway. http://bit.ly/qns3JS
Chancellor Angela #Merkel: &quot;Germany is in better shape than it has been for a long time&quot;. Article: http://bit.ly/q0l2jF
# CDU General Secretary Hermann # Gröhe: Europe has demonstrated its ability to act. PM on the # euro summit: http://bit.ly/ntnDtv
&quot;Only with the #CDU does something change in #Berlin&quot;. On the election campaign opening of the CDU Berlin with Frank #Henkel: http://bit.ly/qYk3uU
&quot;We bow to the resistance fighters&quot;. PM from # CDU General Secretary Hermann # Gröhe as of July 20: http://bit.ly/n0ydwZ
&quot;The #Euro is a central building block for a good future&quot;. PK from # CDU General Secretary Hermann # Gröhe: http://bit.ly/oFiBGO
&quot;We work to ensure that the #Euro is a stable currency&quot;. Interview with # Federal Chancellor Angela #Merkel: http://bit.ly/omAqUP
Hermann @groehe: &quot;Lötzsch has to apologize&quot; http://bit.ly/ox1ey8 #cdu #merkel #linkspartei
The chairman of @cducsubt Volker Kauder: &quot;Germany is doing well&quot; http://bit.ly/rqxOgm #cdu #bilanz #christlich #liberale #koalition
David McAllister: &quot;&quot; Offshore wind energy is an opportunity of the century for the North Sea coast &quot;http://bit.ly/qVxttJ #cdu #energiepolitik #energiewende
Angela Merkel visits Günther Jauch: &quot;Europe is worth every effort&quot; http://bit.ly/qW0rUh
TV tip: Chancellor Angela Merkel is a guest on ARD at 9:45 p.m. with Günther Jauch. Topic &quot;The fight for the euro&quot; #cdu #europa #gj
Hermann @groehe &quot;Our education system is facing major challenges&quot; http://bit.ly/qr3pdh #cdu #bildung #bildungsepublik #deutschland
Angela Merkel: &quot;Put Europe back on a solid footing&quot; http://bit.ly/q5BUe9 #cdu #regionalkonferenz # rk11
Action by the CDU Dortmund for the regional conference in Dortmund http://cdudo.de/ #cdu #cdudo # rk11 #merkel
Hermann @groehe &quot;I find it shameful to refuse respect&quot; http://bit.ly/ruzJcr #cdu #papst #papstbesuch
Angela Merkel: &quot;The Pope&#39;s visit will enrich us&quot; http://bit.ly/pGHKXj #cdu #papst #papstbesuch
Angela Merkel: &quot;Combining growth with the principle of sustainability&quot; http://bit.ly/nFxCOZ #cdu #berliner # talk #growth policy
Volker Kauder: &quot;Help Christians all over the world together&quot; http://bit.ly/onTyE7 #cdu #cducsu #cducsubt #fraktion #ckongress
Intensive debate with the party base: Angela #Merkel at the # CDU regional conference in Alsfeld. http://bit.ly/oXHQuK
Kauder: Shameful boycott http://bit.ly/pDq1b9 #cdu #papstbesuch #papst
